STAID,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990
03161000,"SOUTH FORK NEW RIVER NEAR JEFFERSON, NC",Ref,EastHghlnds,527.8624,05,36.393333,-81.406944,NC,yes,yes,82,59,20
03439000,"FRENCH BROAD RIVER AT ROSMAN, NC",Ref,EastHghlnds,178.6674,06,35.143333,-82.824722,NC,yes,yes,75,60,20
03440000,"CATHEYS CREEK NEAR BREVARD, NC",Non-ref,EastHghlnds,29.5596,06,35.211223,-82.783183,NC,NA,NA,28,23,15
03441000,"DAVIDSON RIVER NEAR BREVARD, NC",Ref,EastHghlnds,104.292,06,35.273056,-82.705833,NC,NA,yes,86,57,17
03441440,"LITTLE RIVER AB HIGH FALLS NEAR CEDAR MT, NC",Non-ref,EastHghlnds,69.2892,06,35.192339,-82.613457,NC,NA,NA,28,28,1
03443000,"FRENCH BROAD RIVER AT BLANTYRE, NC",Non-ref,EastHghlnds,765.5247,06,35.299167,-82.623889,NC,NA,yes,89,60,20
03446000,"MILLS RIVER NEAR MILLS RIVER, NC",Non-ref,EastHghlnds,172.5642,06,35.398056,-82.595,NC,NA,yes,77,60,20
03447687,"FRENCH BROAD RIVER NEAR FLETCHER, NC",Non-ref,EastHghlnds,1655.622,06,35.4275,-82.548056,NC,NA,yes,8,8,8
03447894,"BENT CR AT BENT CR GAP RD NR GLEN BALD, NC",Ref,EastHghlnds,22.6485,06,35.493611,-82.611111,NC,NA,yes,7,7,7
03448000,"FRENCH BROAD RIVER AT BENT CREEK, NC",Non-ref,EastHghlnds,1751.8,06,35.502057,-82.592346,NC,NA,NA,52,37,0
03448500,"HOMINY CREEK AT CANDLER, NC",Non-ref,EastHghlnds,206.8092,06,35.541221,-82.67624,NC,NA,NA,35,28,0
0344894205,"NORTH FORK SWANNANOA RIVER NEAR WALKERTOWN, NC",Ref,EastHghlnds,38.6046,06,35.683333,-82.333056,NC,yes,yes,20,20,20
03450000,"BEETREE CREEK NEAR SWANNANOA, NC",Ref,EastHghlnds,14.0805,06,35.653056,-82.405278,NC,yes,yes,75,52,20
03451000,"SWANNANOA RIVER AT BILTMORE, NC",Non-ref,EastHghlnds,335.4329,06,35.568333,-82.544722,NC,NA,yes,81,60,20
03451500,"FRENCH BROAD RIVER AT ASHEVILLE, NC",Non-ref,EastHghlnds,2444.736,06,35.608889,-82.578056,NC,NA,yes,110,60,20
03453000,IVY CREEK NEAR MARSHALL N C,Non-ref,EastHghlnds,408.69,06,35.769722,-82.620833,NC,NA,yes,54,39,15
03453500,"FRENCH BROAD RIVER AT MARSHALL, NC",Non-ref,EastHghlnds,3448.471,06,35.786389,-82.660833,NC,NA,yes,67,60,20
03454000,"BIG LAUREL CREEK NEAR STACKHOUSE, NC",Ref,EastHghlnds,151.3191,06,35.919826,-82.76153,NC,NA,NA,37,22,0
03455500,"W F PIGEON R ABOVE LAKE LOGAN NR HAZELWOOD, NC",Ref,EastHghlnds,72.9522,06,35.396111,-82.9375,NC,yes,yes,55,55,20
0345577330,"WEST FORK PIGEON RIVER NEAR RETREAT, NC",Non-ref,EastHghlnds,86.34329,06,35.426667,-82.919722,NC,NA,yes,21,21,20
03456000,"W FK PIGEON R BL LAKE LOGAN NR WAYNESVILLE, NC",Non-ref,EastHghlnds,142.749,06,35.443994000000004,-82.912634,NC,NA,NA,26,26,0
03456100,"W FK PIGEON R AT BETHEL, NC",Non-ref,EastHghlnds,150.7977,06,35.463889,-82.9,NC,NA,yes,28,28,20
03456500,"EAST FORK PIGEON RIVER NEAR CANTON, NC",Ref,EastHghlnds,133.4268,06,35.461667,-82.869722,NC,yes,yes,55,55,20
03456991,"PIGEON RIVER NEAR CANTON, NC",Non-ref,EastHghlnds,335.5515,06,35.523056,-82.846667,NC,NA,yes,79,59,20
03457000,"PIGEON RIVER AT CANTON, NC",Non-ref,EastHghlnds,344.3571,06,35.525106,-82.840967,NC,NA,NA,57,35,0
03457500,"ALLEN CREEK NEAR HAZELWOOD, NC",Non-ref,EastHghlnds,37.2924,06,35.43038,-83.008192,NC,NA,NA,23,23,0
03459000,"JONATHAN CREEK NEAR COVE CREEK, NC",Non-ref,EastHghlnds,170.1054,06,35.622879,-83.007085,NC,NA,NA,42,23,0
03459500,"PIGEON RIVER NEAR HEPCO, NC",Non-ref,EastHghlnds,905.6979,06,35.635,-82.99,NC,NA,yes,82,60,20
03460000,"CATALOOCHEE CREEK NEAR CATALOOCHEE, NC",Ref,EastHghlnds,127.019,06,35.6675,-83.073611,NC,yes,yes,65,50,20
03460795,"PIGEON R BL POWER PLANT NR WATERVILLE, NC",Non-ref,EastHghlnds,1388,06,35.78361,-83.11194,NC,NA,yes,12,12,12
03463300,"SOUTH TOE RIVER NEAR CELO, NC",Ref,EastHghlnds,112.1589,06,35.831507,-82.184287,NC,yes,yes,52,52,20
03464000,"CANE RIVER NEAR SIOUX, NC",Non-ref,EastHghlnds,407.5092,06,36.014556,-82.327631,NC,NA,NA,37,22,0
03479000,"WATAUGA RIVER NEAR SUGAR GROVE, NC",Ref,EastHghlnds,235.6011,06,36.239167,-81.822222,NC,yes,yes,69,60,20
03500000,"LITTLE TENNESSEE RIVER NEAR PRENTISS, NC",Ref,EastHghlnds,361.1439,06,35.15,-83.379722,NC,yes,yes,65,60,20
03500240,"CARTOOGECHAYE CREEK NEAR FRANKLIN, NC",Ref,EastHghlnds,145.8639,06,35.158889,-83.394167,NC,yes,yes,48,48,20
03500500,"CULLASAJA RIVER AT HIGHLANDS, NC",Non-ref,EastHghlnds,37.7253,06,35.070647,-83.232374,NC,NA,NA,40,22,0
0350056050,"CULLASAJA RIVER AT SR 1620 NEAR HIGHLANDS, NC",Non-ref,EastHghlnds,47.7729,06,35.07611,-83.24889,NC,NA,yes,8,8,8
03501000,"CULLASAJA RIVER AT CULLASAJA, NC",Non-ref,EastHghlnds,222.7734,06,35.166484,-83.323485,NC,NA,NA,52,22,0
03503000,"LITTLE TENNESSEE RIVER AT NEEDMORE, NC",Non-ref,EastHghlnds,1129.928,06,35.336389,-83.526944,NC,NA,yes,63,58,20
03504000,"NANTAHALA RIVER NEAR RAINBOW SPRINGS, NC",Ref,EastHghlnds,134.5167,06,35.1275,-83.618611,NC,yes,yes,69,60,20
03505500,"NANTAHALA RIVER AT NANTAHALA, NC",Non-ref,EastHghlnds,373.0428,06,35.298702,-83.655724,NC,NA,NA,39,32,0
03505550,"NANTAHALA RIVER NEAR HEWITT, NC",Non-ref,EastHghlnds,376.2198,06,35.305,-83.652222,NC,NA,yes,4,4,4
03508000,"TUCKASEGEE RIVER AT TUCKASEGEE, NC",Non-ref,EastHghlnds,370.5039,06,35.282044,-83.126808,NC,NA,NA,42,27,0
03508050,"TUCKASEGEE RIVER AT SR 1172 NR CULLOWHEE, NC",Non-ref,EastHghlnds,374.4828,06,35.287778,-83.143889,NC,NA,yes,5,5,5
03509000,"SCOTT CREEK ABOVE SYLVA, NC",Non-ref,EastHghlnds,132.0714,06,35.383989,-83.214035,NC,NA,NA,36,28,2
03510500,"TUCKASEGEE RIVER AT DILLSBORO, NC",Non-ref,EastHghlnds,897.8463,06,35.366766,-83.260149,NC,NA,NA,48,32,0
03510577,"TUCKASEGEE RIVER AT BARKER'S CREEK, NC",Non-ref,EastHghlnds,933.2055,06,35.384444,-83.291667,NC,NA,yes,5,5,5
03512000,"OCONALUFTEE RIVER AT BIRDTOWN, NC",Non-ref,EastHghlnds,476.0343,06,35.461389,-83.353611,NC,NA,yes,62,60,20
03513000,"TUCKASEGEE RIVER AT BRYSON CITY, NC",Non-ref,EastHghlnds,1694.688,06,35.4275,-83.446944,NC,NA,yes,106,56,18
03513500,"NOLAND CREEK NEAR BRYSON CITY, NC",Ref,EastHghlnds,35.7696,06,35.484817,-83.504052,NC,NA,NA,36,22,0
0351706800,"CHEOAH RIVER NR BEARPEN GAP NR TAPOCO, NC",Non-ref,EastHghlnds,533.133,06,35.438333,-83.918889,NC,NA,yes,10,10,10
03547000,"HIWASSEE R BL CHATUGE DAM NEAR HAYESVILLE, NC",Non-ref,EastHghlnds,493.3818,06,35.029257,-83.795729,NC,NA,NA,32,25,0
03548500,"HIWASSEE RIVER ABOVE MURPHY, NC",Non-ref,EastHghlnds,1052.705,06,35.081389,-84.002778,NC,NA,NA,105,55,15
03550000,"VALLEY RIVER AT TOMOTLA, NC",Non-ref,EastHghlnds,268.0686,06,35.138889,-83.980556000000007,NC,NA,yes,97,60,20
